site,timing,date,plot,variety,canopeo (%),weed_rating_above,weed_rating_below,flowering_score,height,leaf_count
MN,first flowering,7/23/2024,1,koto,87.11,0,3,1,47,14
MN,first flowering,7/23/2024,2,glgf land race,82.78,0,3,1,49,15
MN,first flowering,7/23/2024,3,devyatka,70.73,0,2,3,48,8
MN,first flowering,7/23/2024,4,manor,95.05,0,0,2,47,15
MN,first flowering,7/23/2024,5,devyatka,92,0,0,3,52,13
MN,first flowering,7/23/2024,6,koto,88.97,0,1,1,40,20
MN,first flowering,7/23/2024,7,manor,88,0,2,2,43,10
MN,first flowering,7/23/2024,8,glgf land race,94.87,0,1,1,49,16
MN,first flowering,7/23/2024,9,glgf land race,93.06,0,2,1,54,20
MN,first flowering,7/23/2024,10,devyatka,89.63,0,1,2,46,16
MN,first flowering,7/23/2024,11,manor,96.57,0,1,1,46,15
MN,first flowering,7/23/2024,12,koto,93.71,1,2,0,37,12
MN,first flowering,7/23/2024,13,glgf land race,95.37,0,1,1,58,15
MN,first flowering,7/23/2024,14,koto,94.24,0,1,1,42,34
MN,first flowering,7/23/2024,15,devyatka,86.09,0,2,3,55,12
MN,first flowering,7/23/2024,16,manor,92.98,0,1,1,61,15