site,timing,date,plot,variety,plant,leaf_count,internode_1_length,internode_2_length,internode_3_length,internode_4_length,internode_5 length
MN,green seeds,8/20/2024,1,koto,1,47,8,10,10,10,8
MN,green seeds,8/20/2024,1,koto,2,13,9,10.5,13,10.5,9
MN,green seeds,8/20/2024,1,koto,3,46,7,7,7,5.5,7.5
MN,green seeds,8/20/2024,2,glgf land race,1,18,15.5,12,13,12.5,9
MN,green seeds,8/20/2024,2,glgf land race,2,22,12.5,12.5,14,14,11
MN,green seeds,8/20/2024,2,glgf land race,3,22,12,10,13,15,10
MN,green seeds,8/20/2024,3,devyatka,1,18,8.5,8.5,8.5,9,10
MN,green seeds,8/20/2024,3,devyatka,2,14,9.5,11,10,8,8
MN,green seeds,8/20/2024,3,devyatka,3,24,10,8.5,9,16,13
MN,green seeds,8/20/2024,4,manor,1,4,12.5,10,11,9,8.5
MN,green seeds,8/20/2024,4,manor,2,14,10,11,10,8,8.5
MN,green seeds,8/20/2024,4,manor,3,37,8,9,10,9,10
MN,green seeds,8/20/2024,5,devyatka,1,17,10,11.5,10,9,8
MN,green seeds,8/20/2024,5,devyatka,2,22,10,10.5,10,11,10
MN,green seeds,8/20/2024,5,devyatka,3,66,7,8,9,9,10
MN,green seeds,8/20/2024,6,koto,1,44,5.5,9,10,9,10
MN,green seeds,8/20/2024,6,koto,2,19,8,9,11.5,10,9.5
MN,green seeds,8/20/2024,6,koto,3,16,10,8.5,14.5,13.5,10
MN,green seeds,8/20/2024,7,manor,1,20,11.5,11,13.5,10,11
MN,green seeds,8/20/2024,7,manor,2,25,14,14,13,11,11.5
MN,green seeds,8/20/2024,7,manor,3,20,11,11,11,11,9
MN,green seeds,8/20/2024,8,glgf land race,1,66,8.5,10.5,11,12,10.5
MN,green seeds,8/20/2024,8,glgf land race,2,47,13,13,15,15,12.5
MN,green seeds,8/20/2024,8,glgf land race,3,29,11,13,13.5,13,11
MN,green seeds,8/20/2024,9,glgf land race,1,32,5.5,12,15,14,13
MN,green seeds,8/20/2024,9,glgf land race,2,74,8.5,13,18,17,14
MN,green seeds,8/20/2024,9,glgf land race,3,10,13.5,15,15,16.5,15.5
MN,green seeds,8/20/2024,10,devyatka,1,19,11,11,12.5,4.5,19
MN,green seeds,8/20/2024,10,devyatka,2,20,12,10,9,21,18
MN,green seeds,8/20/2024,10,devyatka,3,10,9.5,11,12,8.5,8.5
MN,green seeds,8/20/2024,11,manor,1,72,10.3,9,9,9,14
MN,green seeds,8/20/2024,11,manor,2,17,8,10,12.5,11,11
MN,green seeds,8/20/2024,11,manor,3,26,15,13.5,11,10,10
MN,green seeds,8/20/2024,12,koto,1,71,9,9,10,9,9
MN,green seeds,8/20/2024,12,koto,2,13,12,12.5,11,11,9
MN,green seeds,8/20/2024,12,koto,3,24,6,9,12,12.5,11
MN,green seeds,8/20/2024,13,glgf land race,1,19,11,12,11,12.5,10.5
MN,green seeds,8/20/2024,13,glgf land race,2,29,16,19,14.5,7,14
MN,green seeds,8/20/2024,13,glgf land race,3,29,11.5,11,13,12.5,10
MN,green seeds,8/20/2024,14,koto,1,31,13.5,11.5,11.5,14,10
MN,green seeds,8/20/2024,14,koto,2,89,9,10,12,10,11
MN,green seeds,8/20/2024,14,koto,3,42,7,8.5,8.5,14.5,13
MN,green seeds,8/20/2024,15,devyatka,1,36,8,10,10,10.5,13
MN,green seeds,8/20/2024,15,devyatka,2,12,11,13,14,14,11.5
MN,green seeds,8/20/2024,15,devyatka,3,24,8,10.5,14,12.5,3
MN,green seeds,8/20/2024,16,manor,1,46,1.5,12.5,16,15,13.5
MN,green seeds,8/20/2024,16,manor,2,21,13.5,19,19,18,12
MN,green seeds,8/20/2024,16,manor,3,23,13,18,17,16.5,11.5