Plot Details,,,,,,Coverage Percentages(accessions of 5%),,,,Dominant Weed Species,,,Kernza Growth Stage,,,,,quadrat harvest possible
Site,Year,Date,Rep,Plot,Treatment,OPW,Weeds,Bare Ground,Totals,Primary,Secondary,Tertiary,Growth stage of 5 plants,,,,,
,,6/6/2023,,11,6061,60,5,35,,,,,55,55,57,55,55,
,,6/6/2023,,12,6004,55,10,35,,,,,53,53,55,57,49,
,,6/6/2023,,13,winter_wheat,65,5,30,,,,,60,57,65,65,65,
,,6/6/2023,,14,6005,60,5,35,,,,,59,57,57,59,47,
,,6/6/2023,,15,6059,60,5,35,,,,,47,55,47,45,49,
,,6/6/2023,,21,6004,50,5,45,,,,,55,53,55,59,57,
,,6/6/2023,,22,6061,50,10,40,,,,,55,55,53,55,49,
,,6/6/2023,,23,winter_wheat,60,5,35,,,,,65,60,60,65,65,
,,6/6/2023,,24,6059,70,0,30,,,,,57,47,47,49,53,
,,6/6/2023,,25,6005,70,5,25,,,,,47,57,57,55,55,
,,6/6/2023,,31,6059,55,10,35,,,,,53,55,47,57,55,
,,6/6/2023,,32,6061,60,5,35,,,,,49,57,49,55,49,
,,6/6/2023,,33,6004,70,10,20,,,,,60,53,57,55,57,
,,6/6/2023,,34,winter_wheat,75,0,25,,,,,60,65,65,65,60,
,,6/6/2023,,35,6005,65,5,30,,,,,59,57,59,55,55,
,,6/6/2023,,41,6005,60,10,30,,,,,55,55,59,59,57,
,,6/6/2023,,42,winter_wheat,75,0,25,,,,,69,65,65,60,69,
,,6/6/2023,,43,6059,75,0,25,,,,,57,55,55,57,55,
,,6/6/2023,,44,6061,80,0,20,,,,,47,47,50,47,50,
,,6/6/2023,,45,6004,75,0,25,,,,,57,55,57,57,57,
,,6/21/2023,,11,6061,,,,,,,,60,69,65,69,60,
,,6/21/2023,,12,6004,,,,,,,,69,65,60,60,60,
,,6/21/2023,,13,winter_wheat,,,,,,,,69,73,73,73,75,
,,6/21/2023,,14,6005,,,,,,,,60,60,59,65,60,
,,6/21/2023,,15,6059,,,,,,,,69,69,69,59,65,
,,6/21/2023,,21,6004,,,,,,,,69,69,65,65,65,
,,6/21/2023,,22,6061,,,,,,,,69,60,59,59,55,
,,6/21/2023,,23,winter_wheat,,,,,,,,65,77,77,73,65,
,,6/21/2023,,24,6059,,,,,,,,60,69,69,65,69,
,,6/21/2023,,25,6005,,,,,,,,65,65,60,60,69,
,,6/21/2023,,31,6059,,,,,,,,65,65,65,65,69,
,,6/21/2023,,32,6061,,,,,,,,69,59,65,69,59,
,,6/21/2023,,33,6004,,,,,,,,60,65,69,65,65,
,,6/21/2023,,34,winter_wheat,,,,,,,,75,77,73,73,69,
,,6/21/2023,,35,6005,,,,,,,,65,59,60,60,60,
,,6/21/2023,,41,6005,,,,,,,,60,60,65,59,69,
,,6/21/2023,,42,winter_wheat,,,,,,,,75,77,73,77,75,
,,6/21/2023,,43,6059,,,,,,,,60,65,60,60,69,
,,6/21/2023,,44,6061,,,,,,,,65,69,59,60,65,
,,6/21/2023,,45,6004,,,,,,,,65,60,65,60,60,
,,6/4/2024,,11,6061,50,50,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,12,6004,80,20,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,13,winter_wheat,0,0,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,14,6005,80,20,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,15,6059,50,50,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,21,6004,100,0,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,22,6061,60,40,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,23,winter_wheat,0,0,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,24,6059,50,50,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,25,6005,70,30,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,31,6059,30,70,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,32,6061,20,80,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,33,6004,30,70,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,34,winter_wheat,0,0,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,35,6005,30,70,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,41,6005,80,20,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,42,winter_wheat,0,0,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,43,6059,70,30,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,44,6061,20,80,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,45,6004,50,50,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/11/2024,,11,6061,9,0,1,,,,,,,,,,yes
,,6/11/2024,,12,6004,8,0,2,,,,,,,,,,yes
,,6/11/2024,,13,winter_wheat,0,0,0,,,,,,,,,,no
,,6/11/2024,,14,6005,7,0,3,,,,,,,,,,yes
,,6/11/2024,,15,6059,2,0,8,,,,,,,,,,no
,,6/11/2024,,21,6004,10,0,0,,,,,,,,,,yes
,,6/11/2024,,22,6061,5,0,5,,,,,,,,,,no
,,6/11/2024,,23,winter_wheat,0,0,0,,,,,,,,,,no
,,6/11/2024,,24,6059,1,0,9,,,,,,,,,,no
,,6/11/2024,,25,6005,4,0,6,,,,,,,,,,yes
,,6/11/2024,,31,6059,1,0,9,,,,,,,,,,no
,,6/11/2024,,32,6061,4,0,6,,,,,,,,,,no
,,6/11/2024,,33,6004,7,0,3,,,,,,,,,,yes
,,6/11/2024,,34,winter_wheat,0,0,0,,,,,,,,,,no
,,6/11/2024,,35,6005,1,0,9,,,,,,,,,,no
,,6/11/2024,,41,6005,7,0,3,,,,,,,,,,yes
,,6/11/2024,,42,winter_wheat,0,0,0,,,,,,,,,,no
,,6/11/2024,,43,6059,9,0,1,,,,,,,,,,yes
,,6/11/2024,,44,6061,8,0,2,,,,,,,,,,yes
,,6/11/2024,,45,6004,6,0,4,,,,,,,,,,yes