experiment,plot,timing,trt_code,herbicide,rate,treatment,date_forage_quadrat,forage_quadrat_dimensions,forage_quadrat_wet_grams_with_bag,forage_quadrat_wet_grams_no_bag,forage_quadrat_dry_grams_with_bag,forage_quadrat_dry_grams_no_bag,forage_dmyield_Mg_ha,date_grain_combine,combine_rows_harvested,combine_operator_error,combine_operator_note,combine_operator_rating,grain_combine_dimensions,grain_combine_yield_uncleaned_inbag_dry_grams,grain_combine_bagtare,grain_combine_yield_uncleaned_nobag_dry_grams,grain_combine_yield_uncleaned_kgha
dish,101,fall,1,control,0,control_0,5/6/2024,0.152258,69.3,,43.6,6.7,0.440042559,08/21/2024,4,,,,6048,147.4,19.1,128.3,328.8
dish,102,fall,2,finesse,0.5,finesse_0.5,5/6/2024,0.152258,51,,40,3.1,0.203601781,08/21/2024,3,,,,4536,155.4,19.1,136.3,465.8
dish,103,fall,3,finesse,1,finesse_1,5/6/2024,0.152258,86.5,,46.9,10.5,0.689618936,08/21/2024,4,,,,6048,184.2,19.1,165.1,423.1
dish,104,fall,4,finesse,2,finesse_2,5/6/2024,0.152258,56.8,,42.1,2.6,0.170762784,08/21/2024,4,yes,,,6048,152.7,19.1,133.6,
dish,105,fall,5,prowl,0.5,prowl_0.5,5/6/2024,0.152258,63.9,,43,6.6,0.43347476,08/21/2024,4,,,,6048,175.9,19.1,156.8,401.9
dish,106,fall,6,prowl,1,prowl_1,5/6/2024,0.152258,101.5,,49.2,12.4,0.814407125,08/21/2024,4,,,,6048,139.5,19.1,120.4,308.6
dish,107,fall,7,prowl,2,prowl_2,5/6/2024,0.152258,42,,37.9,0.9,0.059110195,08/21/2024,4,,,,6048,178,19.1,158.9,407.2
dish,108,fall,8,dual,0.5,dual_0.5,5/6/2024,0.152258,70.9,,43.7,7.2,0.472881556,08/21/2024,4,,,,6048,193.4,19.1,174.3,446.7
dish,109,fall,9,dual,1,dual_1,5/6/2024,0.152258,89.6,,48.6,11.7,0.768432529,08/21/2024,4,,,,6048,133.5,19.1,114.4,293.2
dish,110,fall,10,dual,2,dual_2,5/6/2024,0.152258,90.3,,48.9,11.5,0.75529693,08/21/2024,4,,,,6048,198.4,19.1,179.3,459.5
dish,111,fall,11,axial xl,0.5,axial xl_0.5,5/6/2024,0.152258,103,  ,49.3,12.8,0.840678322,08/21/2024,4,,,,6048,129.3,19.1,110.2,282.4
dish,112,fall,12,axial xl,1,axial xl_1,5/6/2024,0.152258,125.3,,53.5,16.9,1.109958097,08/21/2024,3,,double,,4536,159.5,19.1,140.4,479.8
dish,113,fall,13,axial xl,2,axial xl_2,5/6/2024,0.152258,91.4,,47.5,10.5,0.689618936,08/21/2024,4,,,,6048,170.6,19.1,151.5,388.3
dish,114,fall,14,outrider,0.5,outrider_0.5,5/6/2024,0.152258,52.8,,39.7,3.1,0.203601781,08/21/2024,2,yes,,,3024,147.6,19.1,128.5,
dish,115,fall,15,outrider,1,outrider_1,5/6/2024,0.152258,95.9,,46.5,11.3,0.742161331,08/21/2024,4,,,,6048,177.6,19.1,158.5,406.2
dish,116,fall,16,outrider,2,outrider_2,5/6/2024,0.152258,91,,46,11,0.722457933,08/21/2024,4,,,,6048,228.7,19.1,209.6,537.2
dish,117,fall,17,everest,0.5,everest_0.5,5/6/2024,0.152258,58.1,,40.3,5,0.32838997,08/21/2024,4,,,,6048,158.1,19.1,139,356.2
dish,118,fall,18,everest,1,everest_1,5/6/2024,0.152258,108.1,,49.4,14.2,0.932627514,08/21/2024,4,,,,6048,201.2,19.1,182.1,466.7
dish,119,fall,19,everest,2,everest_2,5/6/2024,0.152258,67,,41.9,6.1,0.400635763,08/21/2024,4,,,,6048,171.7,19.1,152.6,391.1
dish,201,fall,16,outrider,2,outrider_2,5/6/2024,0.152258,73.2,,42.9,8,0.525423951,08/21/2024,4,yes,,,6048,101,19.1,81.9,
dish,202,fall,7,prowl,2,prowl_2,5/6/2024,0.152258,67.6,,42.5,7.2,0.472881556,08/21/2024,3,,,,4536,110,19.1,90.9,310.6
dish,203,fall,13,axial xl,2,axial xl_2,5/6/2024,0.152258,71.4,,42.5,7.4,0.486017155,08/21/2024,4,,,,6048,126.6,19.1,107.5,275.5
dish,204,fall,8,dual,0.5,dual_0.5,5/6/2024,0.152258,49.5,,38,25.8,1.694492243,08/21/2024,4,,double,,6048,192.1,19.1,173,443.4
dish,205,fall,12,axial xl,1,axial xl_1,5/6/2024,0.152258,127,,53,17.6,1.155932693,08/21/2024,4,,,,6048,139.4,19.1,120.3,308.3
dish,206,fall,2,finesse,0.5,finesse_0.5,5/6/2024,0.152258,104.7,,49.4,13.9,0.912924116,08/21/2024,4,,,,6048,232.4,19.1,213.3,546.7
dish,207,fall,5,prowl,0.5,prowl_0.5,5/6/2024,0.152258,74.7,,43.4,8.3,0.54512735,08/21/2024,4,,,,6048,171.5,19.1,152.4,390.6
dish,208,fall,3,finesse,1,finesse_1,5/6/2024,0.152258,56.6,,39.6,4.2,0.275847575,08/21/2024,4,,,,6048,201.3,19.1,182.2,466.9
dish,209,fall,1,control,0,control_0,5/6/2024,0.152258,86.2,,45.2,10.7,0.702754535,08/21/2024,4,,,,6048,178.4,19.1,159.3,408.3
dish,210,fall,9,dual,1,dual_1,5/6/2024,0.152258,107.4,,50.1,14.9,0.97860211,08/21/2024,4,,,,6048,193.7,19.1,174.6,447.5
dish,211,fall,18,everest,1,everest_1,5/6/2024,0.152258,64.9,,41.5,6.3,0.413771362,08/21/2024,4,,,,6048,117.2,19.1,98.1,251.4
dish,212,fall,4,finesse,2,finesse_2,5/6/2024,0.152258,45.4,,37.5,2,0.131355988,08/21/2024,4,,,,6048,116.9,19.1,97.8,250.6
dish,213,fall,15,outrider,1,outrider_1,5/6/2024,0.152258,53.5,,39.3,4,0.262711976,08/21/2024,4,,,,6048,126.5,19.1,107.4,275.2
dish,214,fall,19,everest,2,everest_2,5/6/2024,0.152258,100.7,,48.1,12.3,0.807839325,08/21/2024,4,yes,,,6048,81.1,19.1,62,
dish,215,fall,10,dual,2,dual_2,5/6/2024,0.152258,90,,47.2,11.3,0.742161331,08/21/2024,4,,,,6048,87.6,19.1,68.5,175.6
dish,216,fall,17,everest,0.5,everest_0.5,5/6/2024,0.152258,55.9,,40.6,4.6,0.302118772,08/21/2024,4,,,,6048,184.8,19.1,165.7,424.7
dish,217,fall,14,outrider,0.5,outrider_0.5,5/6/2024,0.152258,63.7,,41.3,5.6,0.367796766,08/21/2024,4,,,,6048,178.5,19.1,159.4,408.5
dish,218,fall,11,axial xl,0.5,axial xl_0.5,5/6/2024,0.152258,82.2,,45.5,9.3,0.610805344,08/21/2024,4,,,,6048,121.9,19.1,102.8,263.5
dish,219,fall,6,prowl,1,prowl_1,5/6/2024,0.152258,84.9,,46,9.9,0.65021214,08/21/2024,4,,,,6048,177.7,19.1,158.6,406.5
dish,301,fall,13,axial xl,2,axial xl_2,5/6/2024,0.152258,85.5,,46.4,10.2,0.669915538,08/21/2024,3,,,,4536,117.4,19.1,98.3,335.9
dish,302,fall,5,prowl,0.5,prowl_0.5,5/6/2024,0.152258,83.8,,44.9,9.4,0.617373143,08/21/2024,4,,double,,6048,155.9,19.1,136.8,350.6
dish,303,fall,14,outrider,0.5,outrider_0.5,5/6/2024,0.152258,59.5,,40.6,4.4,0.288983173,08/21/2024,4,,,,6048,110.8,19.1,91.7,235.0
dish,304,fall,1,control,0,control_0,5/6/2024,0.152258,73.7,,43.6,7.6,0.499152754,08/21/2024,4,,double,,6048,174.3,19.1,155.2,397.8
dish,305,fall,4,finesse,2,finesse_2,5/6/2024,0.152258,74.2,,44.1,8.2,0.53855955,08/21/2024,4,,,,6048,117.9,19.1,98.8,253.2
dish,306,fall,6,prowl,1,prowl_1,5/6/2024,0.152258,90.4,,47.5,11.1,0.729025733,08/21/2024,4,,,,6048,112.3,19.1,93.2,238.9
dish,307,fall,9,dual,1,dual_1,5/6/2024,0.152258,67.1,,43,6.3,0.413771362,08/21/2024,4,,,,6048,182.4,19.1,163.3,418.5
dish,308,fall,7,prowl,2,prowl_2,5/6/2024,0.152258,57.3,,40.4,4.2,0.275847575,08/21/2024,4,,,,6048,91.7,19.1,72.6,186.1
dish,309,fall,2,finesse,0.5,finesse_0.5,5/6/2024,0.152258,78.8,,45.7,9.2,0.604237544,08/21/2024,4,,,,6048,145.4,19.1,126.3,323.7
dish,310,fall,16,outrider,2,outrider_2,5/6/2024,0.152258,88.7,,46.5,11.1,0.729025733,08/21/2024,4,,,,6048,185.6,19.1,166.5,426.7
dish,311,fall,17,everest,0.5,everest_0.5,5/6/2024,0.152258,66,,42.6,6.4,0.420339161,08/21/2024,3,,,,4536,126.3,19.1,107.2,366.3
dish,312,fall,12,axial xl,1,axial xl_1,5/6/2024,0.152258,136.7,,58.2,20.5,1.346398876,08/21/2024,4,,double,,6048,170.5,19.1,151.4,388.0
dish,313,fall,18,everest,1,everest_1,5/6/2024,0.152258,104.4,,50.9,14.2,0.932627514,08/21/2024,4,,,,6048,86.1,19.1,67,171.7
dish,314,fall,10,dual,2,dual_2,5/6/2024,0.152258,85.1,,46.8,10,0.656779939,08/21/2024,4,,double,,6048,151.9,19.1,132.8,340.3
dish,315,fall,11,axial xl,0.5,axial xl_0.5,5/6/2024,0.152258,110.2,,53.7,14.8,0.97203431,08/21/2024,4,,,,6048,94.3,19.1,75.2,192.7
dish,316,fall,19,everest,2,everest_2,5/6/2024,0.152258,62.9,,42.4,5.1,0.334957769,08/21/2024,4,,,,6048,182.6,19.1,163.5,419.0
dish,317,fall,8,dual,0.5,dual_0.5,5/6/2024,0.152258,55.6,,40.4,4.2,0.275847575,08/21/2024,4,,,,6048,205.4,19.1,186.3,477.5
dish,318,fall,3,finesse,1,finesse_1,5/6/2024,0.152258,80.3,,45.5,8.9,0.584534146,08/21/2024,4,,,,6048,172.4,19.1,153.3,392.9
dish,319,fall,15,outrider,1,outrider_1,5/6/2024,0.152258,61.1,,42.4,5.4,0.354661167,08/21/2024,4,,,,6048,169.6,19.1,150.5,385.7
dish,401,spring,1,control,0,control_0,5/23/2024,0.152258,,211,,41.6,2.732204548,08/21/2024,4,,,,6048,134.8,19.1,115.7,296.5
dish,402,spring,2,finesse,0.5,finesse_0.5,5/23/2024,0.152258,,227,,45.7,3.001484323,08/21/2024,3,,,,4536,134.2,19.1,115.1,393.3
dish,403,spring,3,finesse,1,finesse_1,5/23/2024,0.152258,,110,,22,1.444915866,08/21/2024,4,,,,6048,144.3,19.1,125.2,320.9
dish,404,spring,4,finesse,2,finesse_2,5/23/2024,0.152258,,122.5,,26,1.707627842,08/21/2024,4,,,,6048,174,19.1,154.9,397.0
dish,405,spring,5,prowl,0.5,prowl_0.5,5/23/2024,0.152258,,161.4,,33,2.1673738,08/21/2024,4,,,,6048,104.8,19.1,85.7,219.6
dish,406,spring,6,prowl,1,prowl_1,5/23/2024,0.152258,,174.8,,37,2.430085775,08/21/2024,4,,,,6048,157.3,19.1,138.2,354.2
dish,407,spring,7,prowl,2,prowl_2,5/23/2024,0.152258,,131.6,,27.6,1.812712633,08/21/2024,4,,,,6048,163.2,19.1,144.1,369.3
dish,408,spring,8,dual,0.5,dual_0.5,5/23/2024,0.152258,,198.5,,38.8,2.548306165,08/21/2024,4,,,,6048,224.5,19.1,205.4,526.4
dish,409,spring,9,dual,1,dual_1,5/23/2024,0.152258,,239.9,,46.7,3.067162317,08/21/2024,4,,,,6048,212.1,19.1,193,494.6
dish,410,spring,10,dual,2,dual_2,5/23/2024,0.152258,,177.8,,36.4,2.390678979,08/21/2024,4,,,,6048,153.6,19.1,134.5,344.7
dish,411,spring,11,axial xl,0.5,axial xl_0.5,5/23/2024,0.152258,,114.1,,23.6,1.550000657,08/21/2024,4,,,,6048,136.2,19.1,117.1,300.1
dish,412,spring,12,axial xl,1,axial xl_1,5/23/2024,0.152258,,155.8,,32.6,2.141102602,08/21/2024,3,,,,4536,118.7,19.1,99.6,340.3
dish,413,spring,13,axial xl,2,axial xl_2,5/23/2024,0.152258,,263,,51.1,3.35614549,08/21/2024,4,,,,6048,171.7,19.1,152.6,391.1
dish,414,spring,14,outrider,0.5,outrider_0.5,5/23/2024,0.152258,,162,,34.4,2.259322991,08/21/2024,4,,double,,6048,175.3,19.1,156.2,400.3
dish,415,spring,15,outrider,1,outrider_1,5/23/2024,0.152258,,202.7,,44.4,2.916102931,08/21/2024,4,,,,6048,123.2,19.1,104.1,266.8
dish,416,spring,16,outrider,2,outrider_2,5/23/2024,0.152258,,104.4,,22.2,1.458051465,08/21/2024,4,,,,6048,200.1,19.1,181,463.9
dish,417,spring,17,everest,0.5,everest_0.5,5/23/2024,0.152258,,181,,35.1,2.305297587,08/21/2024,4,,,,6048,180.5,19.1,161.4,413.6
dish,418,spring,18,everest,1,everest_1,5/23/2024,0.152258,,216.5,,41.4,2.719068949,08/21/2024,4,,,,6048,126,19.1,106.9,274.0
dish,419,spring,19,everest,2,everest_2,5/23/2024,0.152258,,179.3,,37.1,2.436653575,08/21/2024,4,,,,6048,169.8,19.1,150.7,386.2
dish,501,spring,16,outrider,2,outrider_2,5/23/2024,0.152258,,298.3,,55,3.612289666,08/21/2024,4,,,,6048,157.2,19.1,138.1,353.9
dish,502,spring,7,prowl,2,prowl_2,5/23/2024,0.152258,,188,,38.7,2.541738365,08/21/2024,3,,poor,poor,4536,37.2,19.1,18.1,61.8
dish,503,spring,13,axial xl,2,axial xl_2,5/23/2024,0.152258,,392.2,,70,4.597459575,08/21/2024,4,,,,6048,90.5,19.1,71.4,183.0
dish,504,spring,8,dual,0.5,dual_0.5,5/23/2024,0.152258,,179.5,,39,2.561441763,08/21/2024,4,,double,,6048,195.1,19.1,176,451.1
dish,505,spring,12,axial xl,1,axial xl_1,5/23/2024,0.152258,,168.9,,35.1,2.305297587,08/21/2024,4,,,,6048,142.5,19.1,123.4,316.3
dish,506,spring,2,finesse,0.5,finesse_0.5,5/23/2024,0.152258,,130.7,,29.8,1.957204219,08/21/2024,4,,,,6048,181.3,19.1,162.2,415.7
dish,507,spring,5,prowl,0.5,prowl_0.5,5/23/2024,0.152258,,116.7,,24.2,1.589407453,08/21/2024,4,,,,6048,159.8,19.1,140.7,360.6
dish,508,spring,3,finesse,1,finesse_1,5/23/2024,0.152258,,164.8,,31.6,2.075424608,08/21/2024,4,,,,6048,151.4,19.1,132.3,339.1
dish,509,spring,1,control,0,control_0,5/23/2024,0.152258,,216.8,,45.1,2.962077526,08/21/2024,4,,,,6048,190.6,19.1,171.5,439.5
dish,510,spring,9,dual,1,dual_1,5/23/2024,0.152258,,264.6,,57,3.743645654,08/21/2024,4,,,,6048,195.4,19.1,176.3,451.8
dish,511,spring,18,everest,1,everest_1,5/23/2024,0.152258,,299.6,,56.6,3.717374457,08/21/2024,4,,,,6048,137.3,19.1,118.2,302.9
dish,512,spring,4,finesse,2,finesse_2,5/23/2024,0.152258,,140.2,,30.3,1.990043216,08/21/2024,3,,,,4536,155.3,19.1,136.2,465.4
dish,513,spring,15,outrider,1,outrider_1,5/23/2024,0.152258,,280.8,,56.3,3.697671058,08/21/2024,4,,,excellent,6048,144.9,19.1,125.8,322.4
dish,514,spring,19,everest,2,everest_2,5/23/2024,0.152258,,163.2,,33.2,2.180509399,08/21/2024,4,,,,6048,185.8,19.1,166.7,427.2
dish,515,spring,10,dual,2,dual_2,5/23/2024,0.152258,,44.7,,11.5,0.75529693,08/21/2024,4,,,,6048,120.3,19.1,101.2,259.4
dish,516,spring,17,everest,0.5,everest_0.5,5/23/2024,0.152258,,204.4,,41,2.692797751,08/21/2024,4,,,,6048,141.4,19.1,122.3,313.4
dish,517,spring,14,outrider,0.5,outrider_0.5,5/23/2024,0.152258,,224,,46.4,3.047458918,08/21/2024,4,,,,6048,174.2,19.1,155.1,397.5
dish,518,spring,11,axial xl,0.5,axial xl_0.5,5/23/2024,0.152258,,88,,17.3,1.136229295,08/21/2024,4,,,,6048,170.1,19.1,151,387.0
dish,519,spring,6,prowl,1,prowl_1,5/23/2024,0.152258,,232.7,,48.1,3.159111508,08/21/2024,4,,,,6048,131.2,19.1,112.1,287.3
dish,601,spring,13,axial xl,2,axial xl_2,5/23/2024,0.152258,,157.6,,32.1,2.108263605,08/21/2024,4,,,,6048,148.5,19.1,129.4,331.6
dish,602,spring,5,prowl,0.5,prowl_0.5,5/23/2024,0.152258,,132.5,,29,1.904661824,08/21/2024,4,,,,6048,132.8,19.1,113.7,291.4
dish,603,spring,14,outrider,0.5,outrider_0.5,5/23/2024,0.152258,,242.8,,45.7,3.001484323,08/21/2024,4,,double,,6048,161.3,19.1,142.2,364.4
dish,604,spring,1,control,0,control_0,5/23/2024,0.152258,,165.9,,35.1,2.305297587,08/21/2024,4,,,,6048,134.1,19.1,115,294.7
dish,605,spring,4,finesse,2,finesse_2,5/23/2024,0.152258,,112.2,,25.3,1.661653246,08/21/2024,4,,,,6048,135.8,19.1,116.7,299.1
dish,606,spring,6,prowl,1,prowl_1,5/23/2024,0.152258,,196,,43.3,2.843857137,08/21/2024,4,,,,6048,92.1,19.1,73,187.1
dish,607,spring,9,dual,1,dual_1,5/23/2024,0.152258,,48.8,,12.5,0.820974924,08/21/2024,4,,,,6048,136.4,19.1,117.3,300.6
dish,608,spring,7,prowl,2,prowl_2,5/23/2024,0.152258,,170.8,,31.4,2.062289009,08/21/2024,4,,,,6048,131.1,19.1,112,287.0
dish,609,spring,2,finesse,0.5,finesse_0.5,5/23/2024,0.152258,,215.8,,43.6,2.863560535,08/21/2024,4,,,,6048,152.6,19.1,133.5,342.1
dish,610,spring,16,outrider,2,outrider_2,5/23/2024,0.152258,,141.1,,30.9,2.029450012,08/21/2024,4,,,,6048,146.4,19.1,127.3,326.2
dish,611,spring,17,everest,0.5,everest_0.5,5/23/2024,0.152258,,228,,45.3,2.975213125,08/21/2024,4,,,,6048,138.3,19.1,119.2,305.5
dish,612,spring,12,axial xl,1,axial xl_1,5/23/2024,0.152258,,197.7,,41.3,2.712501149,08/21/2024,4,,,,6048,186.2,19.1,167.1,428.2
dish,613,spring,18,everest,1,everest_1,5/23/2024,0.152258,,136.9,,29.1,1.911229623,08/21/2024,4,,double,,6048,186.7,19.1,167.6,429.5
dish,614,spring,10,dual,2,dual_2,5/23/2024,0.152258,,51.6,,14,0.919491915,08/21/2024,4,,,poor,6048,128.2,19.1,109.1,279.6
dish,615,spring,11,axial xl,0.5,axial xl_0.5,5/23/2024,0.152258,,144,,30.8,2.022882213,08/21/2024,4,,,,6048,126.7,19.1,107.6,275.8
dish,616,spring,19,everest,2,everest_2,5/23/2024,0.152258,,73.1,,17.3,1.136229295,08/21/2024,4,,,,6048,129.1,19.1,110,281.9
dish,617,spring,8,dual,0.5,dual_0.5,5/23/2024,0.152258,,119.3,,26.3,1.72733124,08/21/2024,4,,,,6048,113,19.1,93.9,240.7
dish,618,spring,3,finesse,1,finesse_1,5/23/2024,0.152258,,107.6,,21.5,1.41207687,08/21/2024,4,,,,6048,99.1,19.1,80,205.0
dish,619,spring,15,outrider,1,outrider_1,5/23/2024,0.152258,,133.3,,29.1,1.911229623,08/21/2024,4,,,,6048,196.8,19.1,177.7,455.4