trial,date,activity,plot,zadocks_plant1,zadocks_plant2,zadocks_plant3,node_height_plant1,node_height_plant2,node_height_plant3
gem,17May2024,spring weed scoring,101,31,31,31,4,2,2.5
gem,17May2024,spring weed scoring,102,31,31,31,2,2,2.5
gem,17May2024,spring weed scoring,103,31,31,31,3,2,3
gem,17May2024,spring weed scoring,104,31,31,31,2.5,2.5,2
gem,17May2024,spring weed scoring,105,31,31,31,2,2.5,2
gem,17May2024,spring weed scoring,106,30,31,31,4,3,2
gem,17May2024,spring weed scoring,107,31,31,31,6,3,4
gem,17May2024,spring weed scoring,108,31,31,31,2,2,3
gem,17May2024,spring weed scoring,109,31,31,31,8,7,6
gem,17May2024,spring weed scoring,110,31,31,31,2,3,4
gem,17May2024,spring weed scoring,111,31,31,31,5,6,4
gem,17May2024,spring weed scoring,112,31,31,31,2,4,5
gem,17May2024,spring weed scoring,113,31,31,31,2,2,2
gem,17May2024,spring weed scoring,114,31,31,31,3,3.5,4
gem,17May2024,spring weed scoring,201,31,31,31,3.5,2,2
gem,17May2024,spring weed scoring,202,31,31,31,3,3,3
gem,17May2024,spring weed scoring,203,31,31,31,4,6,5
gem,17May2024,spring weed scoring,204,31,31,31,4,4,4
gem,17May2024,spring weed scoring,205,31,31,31,2,4,4
gem,17May2024,spring weed scoring,206,31,31,31,5,4,4
gem,17May2024,spring weed scoring,207,31,31,31,2,3,2
gem,17May2024,spring weed scoring,208,31,31,31,6,4,6
gem,17May2024,spring weed scoring,209,31,31,31,2,5,4
gem,17May2024,spring weed scoring,210,31,31,31,2,6,6
gem,17May2024,spring weed scoring,211,31,31,31,3,3,3
gem,17May2024,spring weed scoring,212,31,31,31,3,6,5
gem,17May2024,spring weed scoring,213,31,31,31,3,5,4
gem,17May2024,spring weed scoring,214,31,31,31,2,2,2
gem,17May2024,spring weed scoring,301,31,31,31,3,2,4
gem,17May2024,spring weed scoring,302,31,31,31,2,2.5,2
gem,17May2024,spring weed scoring,303,31,31,31,3,3,2
gem,17May2024,spring weed scoring,304,31,31,31,2.5,3,3
gem,17May2024,spring weed scoring,305,31,31,31,2.5,2.5,2.5
gem,17May2024,spring weed scoring,306,31,31,31,2,2,2
gem,17May2024,spring weed scoring,307,31,31,31,3,5,4
gem,17May2024,spring weed scoring,308,31,31,31,2,3,4
gem,17May2024,spring weed scoring,309,31,31,31,3,4,4
gem,17May2024,spring weed scoring,310,31,31,31,6,5,6
gem,17May2024,spring weed scoring,311,31,31,31,4,7,5
gem,17May2024,spring weed scoring,312,31,31,31,2,2,3
gem,17May2024,spring weed scoring,313,31,31,31,2.5,2,3
gem,17May2024,spring weed scoring,314,31,31,31,3,3,3
gem,17May2024,spring weed scoring,401,31,31,31,3.5,6,4
gem,17May2024,spring weed scoring,402,31,31,31,4,4,4
gem,17May2024,spring weed scoring,403,31,31,31,4.5,3,2
gem,17May2024,spring weed scoring,404,31,31,31,6,5,4
gem,17May2024,spring weed scoring,405,31,31,31,2,2,2
gem,17May2024,spring weed scoring,406,31,31,31,2.5,3,3
gem,17May2024,spring weed scoring,407,31,31,31,4,4,3
gem,17May2024,spring weed scoring,408,31,31,31,4,5,6
gem,17May2024,spring weed scoring,409,31,31,31,4,4,4
gem,17May2024,spring weed scoring,410,31,31,31,2.5,2,3
gem,17May2024,spring weed scoring,411,31,31,31,4,5,4.5
gem,17May2024,spring weed scoring,412,31,31,31,3,2,2.5
gem,17May2024,spring weed scoring,413,31,31,31,4,2.5,3.5
gem,17May2024,spring weed scoring,414,31,31,31,3.5,3,2