experiment,site,year,treatment,plot
ORG,Lamberton,2019,1,106
ORG,Lamberton,2019,1,203
ORG,Lamberton,2019,1,301
ORG,Lamberton,2019,1,405
ORG,Ros R54-55,2019,2,102
ORG,Lamberton,2018,2,102
ORG,Lamberton,2018,6,105
ORG,Lamberton,2019,2,102
ORG,St. Paul,2019,2,105
ORG,Lamberton,2020,1,106
ORG,Lamberton,2018,1,106
ORG,Lamberton,2018,1,203
ORG,Lamberton,2020,1,203
ORG,Lamberton,2020,1,301
ORG,Lamberton,2020,1,405
ORG,Lamberton,2018,2,204
ORG,Lamberton,2018,6,205
ORG,Lamberton,2018,1,301
ORG,Lamberton,2018,2,303
ORG,Ros R54-55,2019,2,204
ORG,Lamberton,2019,2,204
ORG,Lamberton,2018,6,304
ORG,Ros R54-55,2019,1,106
ORG,Ros R54-55,2019,1,203
ORG,Ros R54-55,2019,1,301
ORG,Ros R54-55,2019,1,405
ORG,Lamberton,2018,2,402
ORG,Ros R54-55,2020,1,106
ORG,Ros R54-55,2020,1,203
ORG,Ros R54-55,2019,2,303
ORG,Ros R54-55,2020,1,301
ORG,Ros R54-55,2020,1,405
ORG,Lamberton,2018,6,404
ORG,Lamberton,2019,2,303
ORG,Lamberton,2018,1,405
ORG,Ros R54-55,2018,2,102
ORG,St. Paul,2019,2,203
ORG,St. Paul,2019,2,305
ORG,Ros R54-55,2018,6,105
ORG,Ros R54-55,2018,1,106
ORG,Ros R54-55,2019,2,402
ORG,Lamberton,2019,2,402
ORG,Ros R54-55,2018,1,203
ORG,St. Paul,2019,1,102
ORG,St. Paul,2019,2,404
ORG,Ros R54-55,2018,2,204
ORG,St. Paul,2019,1,205
ORG,St. Paul,2019,1,306
ORG,St. Paul,2019,1,406
ORG,St. Paul,2020,1,102
ORG,St. Paul,2020,1,205
ORG,Ros R54-55,2018,6,205
ORG,St. Paul,2020,1,306
ORG,St. Paul,2020,1,406
ORG,Lamberton,2019,6,105
ORG,Ros R54-55,2018,1,301
ORG,Lamberton,2019,6,205
ORG,Lamberton,2019,6,304
ORG,Ros R54-55,2020,2,102
ORG,Lamberton,2020,2,102
ORG,St. Paul,2020,2,105
ORG,Ros R54-55,2018,2,303
ORG,Ros R54-55,2018,6,304
ORG,Ros R54-55,2018,2,402
ORG,Lamberton,2019,6,404
ORG,Lamberton,2020,6,105
ORG,Ros R54-55,2018,6,404
ORG,Lamberton,2020,6,205
ORG,Lamberton,2020,6,304
ORG,Ros R54-55,2018,1,405
ORG,Lamberton,2020,6,404
ORG,Ros R54-55,2019,6,105
ORG,St. Paul,2018,1,102
ORG,Ros R54-55,2019,6,205
ORG,St. Paul,2020,2,203
ORG,St. Paul,2018,2,105
ORG,Ros R54-55,2020,2,204
ORG,Lamberton,2020,2,204
ORG,Ros R54-55,2019,6,304
ORG,Ros R54-55,2019,6,404
ORG,St. Paul,2018,6,106
ORG,St. Paul,2018,6,202
ORG,St. Paul,2018,2,203
ORG,Ros R54-55,2020,6,105
ORG,Ros R54-55,2020,2,303
ORG,St. Paul,2018,1,205
ORG,Ros R54-55,2020,6,205
ORG,Ros R54-55,2020,6,304
ORG,Lamberton,2020,2,303
ORG,St. Paul,2018,6,304
ORG,St. Paul,2020,2,305
ORG,St. Paul,2018,2,305
ORG,Ros R54-55,2020,6,404
ORG,St. Paul,2019,6,106
ORG,St. Paul,2019,6,202
ORG,St. Paul,2018,1,306
ORG,Ros R54-55,2020,2,402
ORG,Lamberton,2020,2,402
ORG,St. Paul,2018,6,403
ORG,St. Paul,2019,6,304
ORG,St. Paul,2019,6,403
ORG,St. Paul,2020,2,404
ORG,St. Paul,2018,2,404
ORG,St. Paul,2020,6,106
ORG,St. Paul,2020,6,202
ORG,St. Paul,2020,6,304
ORG,St. Paul,2018,1,406
ORG,St. Paul,2020,6,403