Product Name,Product Type,Analysis Profile,Date/Time of Analysis,Serial Number,Outlier,Sample ID,Lab,"Dry matter %, Predicted","Protein As is %, Predicted","ICP As is %, Predicted","ADF As is %, Predicted","NDF As is %, Predicted","Fat As is %, Predicted","Ash As is %, Predicted","Lignin As is %, Predicted","NDFICP As is %, Predicted","Insoluble impurities As is %, Predicted","Sugar As is %, Predicted","24dNDFr As is %, Predicted","30dNDFr As is %, Predicted","48dNDFr As is %, Predicted","Calcium As is %, Predicted","Chlorine As is %, Predicted","Potassium As is %, Predicted","Magnesium As is %, Predicted","Phosphorus As is %, Predicted","Sulfur As is %, Predicted",Bias Dry matter,Slope Dry matter,Bias Protein,Slope Protein,Bias ICP,Slope ICP,Bias ADF,Slope ADF,Bias NDF,Slope NDF,Bias Fat,Slope Fat,Bias Ash,Slope Ash,Bias Lignin,Slope Lignin,Bias NDFICP,Slope NDFICP,Bias Insoluble impurities,Slope Insoluble impurities,Bias Sugar,Slope Sugar,Bias 24dNDFr,Slope 24dNDFr,Bias 30dNDFr,Slope 30dNDFr,Bias 48dNDFr,Slope 48dNDFr,Bias Calcium,Slope Calcium,Bias Chlorine,Slope Chlorine,Bias Potassium,Slope Potassium,Bias Magnesium,Slope Magnesium,Bias Phosphorus,Slope Phosphorus,Bias Sulfur,Slope Sulfur,M-Distance actual Dry matter,M-Distance actual Protein,M-Distance actual ICP,M-Distance actual ADF,M-Distance actual NDF,M-Distance actual Fat,M-Distance actual Ash,M-Distance actual Lignin,M-Distance actual NDFICP,M-Distance actual Insoluble impurities,M-Distance actual Sugar,M-Distance actual 24dNDFr,M-Distance actual 30dNDFr,M-Distance actual 48dNDFr,M-Distance actual Calcium,M-Distance actual Chlorine,M-Distance actual Potassium,M-Distance actual Magnesium,M-Distance actual Phosphorus,M-Distance actual Sulfur,Calib File Name Dry matter,Calib File Name Protein,Calib File Name ICP,Calib File Name ADF,Calib File Name NDF,Calib File Name Fat,Calib File Name Ash,Calib File Name Lignin,Calib File Name NDFICP,Calib File Name Insoluble impurities,Calib File Name Sugar,Calib File Name 24dNDFr,Calib File Name 30dNDFr,Calib File Name 48dNDFr,Calib File Name Calcium,Calib File Name Chlorine,Calib File Name Potassium,Calib File Name Magnesium,Calib File Name Phosphorus,Calib File Name Sulfur,Subcal Dry matter,Subcal Protein,Subcal ICP,Subcal ADF,Subcal NDF,Subcal Fat,Subcal Ash,Subcal Lignin,Subcal NDFICP,Subcal Insoluble impurities,Subcal Sugar,Subcal 24dNDFr,Subcal 30dNDFr,Subcal 48dNDFr,Subcal Calcium,Subcal Chlorine,Subcal Potassium,Subcal Magnesium,Subcal Phosphorus,Subcal Sulfur,Spectrometer SN,M-Distance Warning Dry matter,M-Distance Action Dry matter,M-Distance Warning Protein,M-Distance Action Protein,M-Distance Warning ICP,M-Distance Action ICP,M-Distance Warning ADF,M-Distance Action ADF,M-Distance Warning NDF,M-Distance Action NDF,M-Distance Warning Fat,M-Distance Action Fat,M-Distance Warning Ash,M-Distance Action Ash,M-Distance Warning Lignin,M-Distance Action Lignin,M-Distance Warning NDFICP,M-Distance Action NDFICP,M-Distance Warning Insoluble impurities,M-Distance Action Insoluble impurities,M-Distance Warning Sugar,M-Distance Action Sugar,M-Distance Warning 24dNDFr,M-Distance Action 24dNDFr,M-Distance Warning 30dNDFr,M-Distance Action 30dNDFr,M-Distance Warning 48dNDFr,M-Distance Action 48dNDFr,M-Distance Warning Calcium,M-Distance Action Calcium,M-Distance Warning Chlorine,M-Distance Action Chlorine,M-Distance Warning Potassium,M-Distance Action Potassium,M-Distance Warning Magnesium,M-Distance Action Magnesium,M-Distance Warning Phosphorus,M-Distance Action Phosphorus,M-Distance Warning Sulfur,M-Distance Action Sulfur,Sample shape,Sample Tray,Product Repeats,Product Repacks
Hay,Undefined,Hay,9/20/2022 2:59:19 PM,1921614,Yes,23-2,,90.38,10.86,0.49,38.04,66.24,1.94,10.27,2.96,1.35,7.59,10.49,45.91,43.24,23.02,0.55,1.04,2.49,0.3,0.2,0.15,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,10.54,8.4,7.15,5.02,8.81,5.56,9.13,9.07,8.93,4.33,8.82,9.24,6.59,23.36,6.23,11.53,7.32,9.95,5.79,2.17,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,21,22,SNIR6032,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,Unknown,"Large Tray, rotating",1,1
Hay,Undefined,Hay,9/20/2022 3:00:55 PM,1921614,Yes,23-2,,90.17,10.85,0.56,37.37,67.51,1.98,9.82,2.67,1.59,7.93,11.36,46.81,43.05,22.3,0.46,0.76,2.33,0.29,0.21,0.15,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,9.71,7.84,6.43,4.48,8.15,5.19,8.45,8.26,8.59,4.04,8.18,8.64,5.93,22.82,5.73,10.89,6.56,9.41,5.3,2.04,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,21,22,SNIR6032,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,Unknown,"Large Tray, rotating",1,1
Hay,Undefined,Hay,9/20/2022 3:01:15 PM,1921614,Yes,23-2,,91.27,10.46,0.52,40.32,68.85,1.9,10.57,3.53,1.22,7.02,8.33,49.71,47.58,25.68,0.56,1.28,2.46,0.3,0.19,0.14,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,9.5,7.5,6.21,4.41,7.85,5.19,8.26,7.96,8.08,3.73,7.7,10.11,5.79,22.94,5.56,10.28,6.08,9.23,5.36,2.07,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,21,22,SNIR6032,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,Unknown,"Large Tray, rotating",1,1
Hay,Undefined,Hay,9/20/2022 3:02:35 PM,1921614,Yes,23-1,,89.8,12.61,0.41,32.2,57.71,1.79,9.16,2.33,1.1,9.31,12.67,37.63,33.91,19.28,0.5,0.4,2.12,0.24,0.19,0.16,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,4.8,3.86,2.89,2.26,3.97,2.29,4.35,4.04,4.24,1.98,4.1,3.52,1.57,10.85,2.94,5.63,3.01,3.36,2.45,1.1,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,21,22,SNIR6032,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,Unknown,"Large Tray, rotating",1,1
Hay,Undefined,Hay,9/20/2022 3:03:05 PM,1921614,Yes,23-1,,90.98,11.54,0.29,31.31,59.3,1.88,8.7,1.48,0.93,9.14,12.02,40.54,36.54,21.17,0.46,0.47,2.06,0.25,0.18,0.16,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,6.39,5.05,3.77,2.92,5.15,3,5.71,5.24,5.73,2.58,5.22,5.15,2.03,15.08,3.61,6.89,3.81,4.52,3.16,1.11,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,21,22,SNIR6032,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,Unknown,"Large Tray, rotating",1,1
Hay,Undefined,Hay,9/20/2022 3:03:36 PM,1921614,Yes,23-1,,92.23,11.16,0.25,33.29,60.35,1.83,8.49,2.01,0.88,8.92,10.63,43.05,39.91,22.22,0.56,0.59,1.87,0.27,0.17,0.15,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,7.01,5.44,4.04,3.16,5.53,3.3,6.21,5.87,6.16,2.68,5.41,7.26,2.76,17.58,3.81,7.18,4.05,4.67,3.3,1.04,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,21,22,SNIR6032,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,Unknown,"Large Tray, rotating",1,1
Hay,Undefined,Hay,9/20/2022 3:05:11 PM,1921614,Yes,23-1,,93.34,10.59,0.26,30.25,62.1,2.01,6.9,1.89,1.14,9.03,11.61,46.14,42.54,20.08,0.44,0.62,1.57,0.29,0.17,0.15,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,8.7,7.03,4.81,3.99,6.91,4.14,7.88,7.5,8,3.39,6.26,14.7,6.16,26.18,4.77,8.84,5.18,6.27,4.39,1.32,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,21,22,SNIR6032,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,Unknown,"Large Tray, rotating",1,1
Hay,Undefined,Hay,9/20/2022 3:06:42 PM,1921614,Yes,23-1,,93.94,10.92,0.2,29.51,62.83,2.08,7.01,1.56,1.06,8.79,10.8,47.44,44.33,18.94,0.49,0.57,1.75,0.28,0.17,0.15,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,8.33,6.92,4.79,3.88,6.72,3.99,7.67,7.01,7.85,3.23,5.9,18.36,7.99,28.54,4.44,8.48,4.78,6.32,4.29,1.59,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,21,22,SNIR6032,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,Unknown,"Large Tray, rotating",1,1
Hay,Undefined,Hay,9/20/2022 3:07:41 PM,1921614,Yes,13-1,,90.4,10.64,0.3,33.8,60.74,1.71,9.24,1.82,1.27,8.53,11.52,40.39,35.48,22.76,0.48,0.37,1.86,0.22,0.17,0.15,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,4.54,3.59,2.67,2.12,3.58,2.13,4.05,3.76,4.08,1.85,3.73,3.44,1.64,10.58,2.75,5.14,2.69,3.03,2.47,1.16,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,21,22,SNIR6032,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,Unknown,"Large Tray, rotating",1,1
Hay,Undefined,Hay,9/20/2022 3:08:03 PM,1921614,Yes,13-1,,90.64,10.23,0.29,32.92,62.16,1.78,8.54,1.51,1.18,8.12,11.79,42.32,38.05,22.92,0.45,0.24,1.66,0.24,0.16,0.14,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,5.1,4.15,3.03,2.4,4.07,2.47,4.67,4.2,4.74,2.15,4.17,4.58,1.95,12.87,2.91,5.52,2.99,3.55,2.77,1.04,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,21,22,SNIR6032,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,Unknown,"Large Tray, rotating",1,1
Hay,Undefined,Hay,9/20/2022 3:08:23 PM,1921614,Yes,13-1,,91.49,9.95,0.24,32.84,63.07,1.81,8.44,1.54,0.91,7.71,11.35,44.64,40.69,23.64,0.38,0.34,1.68,0.23,0.16,0.14,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,5.77,4.68,3.39,2.64,4.66,2.72,5.28,4.68,5.38,2.33,4.5,5.93,2.45,15.42,3.22,6.25,3.31,3.95,3.02,1.01,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,21,22,SNIR6032,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,Unknown,"Large Tray, rotating",1,1
Hay,Undefined,Hay,9/20/2022 3:09:36 PM,1921614,Yes,42-1,,90.95,10.64,0.21,35.77,62.45,1.71,10.71,2.89,0.84,7.41,10.01,44.43,40.22,21.86,0.48,0.7,2.53,0.2,0.18,0.14,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,6.3,4.87,3.64,2.74,5.11,2.92,5.25,5.29,5.35,2.31,5.07,5.36,2.33,17.16,3.88,7.72,3.89,4.37,3.1,0.9,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,21,22,SNIR6032,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,Unknown,"Large Tray, rotating",1,1
Hay,Undefined,Hay,9/20/2022 3:09:57 PM,1921614,Yes,42-1,,91.2,10.39,0.32,35.19,64.11,1.8,9.27,2.57,1,7.09,10.39,47.32,43.85,24.13,0.44,0.8,2.17,0.23,0.17,0.13,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,7.03,5.43,3.77,2.98,5.58,3.18,5.9,5.7,5.9,2.54,5.45,8.07,3.22,20.16,4.03,8.14,4.15,5.05,3.4,0.85,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,Hay April 7 2009.cal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,21,22,SNIR6032,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,Unknown,"Large Tray, rotating",1,1
