experiment,collected,site,sampler,sample,wet_bag_seedheads_grams,dry_bag_seedheads_grams,dry_nobag_threshed_grams,notes
yieldgap,yes,whitebarn,jesse,1,250.8,177.2,14.5,
yieldgap,yes,whitebarn,jesse,2,430.9,295.5,53,
yieldgap,yes,whitebarn,jesse,3,289.1,208.7,35.6,
yieldgap,yes,whitebarn,jesse,4,307.1,218.4,32.2,
yieldgap,yes,whitebarn,jesse,5,209,168.4,,sandy west
yieldgap,yes,whitebarn,jesse,6,323.7,221,31.2,
yieldgap,yes,whitebarn,jesse,7,305.9,219.1,28.5,
yieldgap,yes,whitebarn,jesse,8,299.3,229.5,35.4,
yieldgap,yes,whitebarn,jesse,9,166,133.5,33.8,
yieldgap,yes,kimber,katherine,1,154.2,127.3,21.1,
yieldgap,yes,kimber,katherine,2,181.1,140.3,21.3,
yieldgap,yes,kimber,katherine,3,133.8,109.7,17.3,
yieldgap,yes,kimber,katherine,4,211.1,156.1,26.3,
yieldgap,yes,kimber,katherine,5,207.1,158.3,38.8,
yieldgap,yes,kimber,katherine,6,241.4,182.2,38.1,
yieldgap,yes,kimber,katherine,7,213.1,162.3,31.9,
yieldgap,yes,kimber,katherine,8,153.8,124.9,25.6,
yieldgap,yes,kimber,katherine,9,179.9,138.1,21.3,
yieldgap,yes,jokela,jungers,1,,130.9,,
yieldgap,yes,jokela,jungers,2,,145.8,39.8,
yieldgap,yes,jokela,jungers,3,,107.1,15.6,
yieldgap,yes,jokela,jungers,4,,133.7,18.8,
yieldgap,yes,jokela,jungers,5,,141.4,34.3,
yieldgap,yes,jokela,jungers,6,,141.4,30,
yieldgap,yes,jokela,jungers,7,,108.3,,
yieldgap,yes,jokela,jungers,8,,109.2,,
yieldgap,yes,jokela,jungers,9,,136.8,,
yieldgap,yes,stan,jesse,1,,141.1,30.5,
yieldgap,yes,stan,jesse,2,,138.4,27.4,
yieldgap,yes,stan,jesse,3,,151.7,29.5,
yieldgap,yes,stan,jesse,4,,179.8,31.2,
yieldgap,yes,stan,jesse,5,,108.1,21.4,
yieldgap,yes,stan,jesse,6,,158,33.6,
yieldgap,yes,stan,jesse,7,,172.6,31.7,
yieldgap,yes,stan,jesse,8,,171.4,31.4,
yieldgap,yes,stan,jesse,9,,110,18.9,
yieldgap,yes,wendy,leavitt,1,,102.7,13.5,grazed 54-64
yieldgap,yes,wendy,leavitt,2,,114.9,11.5,7.5 spacing
yieldgap,yes,wendy,leavitt,3,,150.6,26.9,7.5 spacing
yieldgap,yes,wendy,leavitt,4,,159.4,,7.5 spacing
yieldgap,yes,wendy,leavitt,5,,137.6,,7.5 spacing
yieldgap,yes,wendy,leavitt,6,,137.7,20.6,7.5 spacing
yieldgap,,jokela,,special,,,21.3,"special sample, ask Jake"